12	uart_0	AmbitV003	MEASUREMENT	arrun 1,0,2,0,0,9,0,1,0,1	1783594770165	1783594778754	{"segments":[{"pulses":9,"freq":1,"actinic":0}],"cal_version":"7d4cef1f"}	{"env":[25.94],"fluo":[0.03308,0.02906,0.02955,0.02922,0.02937,0.02887,0.02854,0.02955,0.02939],"s_630":[197,173,176,174,175,172,170,176,175],"r_630":[5955,5954,5957,5955,5958,5957,5957,5955,5955],"sun":[636,639,632,638,642,644,642,643,642],"leaf":[338,329,337,335,333,335,335,333,335],"timing":[105128080,112157805]}
13	uart_0	AmbitV003	MEASUREMENT	arrun 1,0,2,0,0,9,0,1,0,1	1783594779785	1783594788378	{"segments":[{"pulses":9,"freq":1,"actinic":0}],"cal_version":"7d4cef1f"}	{"env":[24.54],"fluo":[0.02940,0.02923,0.02905,0.03427,0.03426,0.03460,0.03393,0.03392,0.03411],"s_630":[175,174,173,204,204,206,202,202,203],"r_630":[5953,5953,5955,5952,5955,5953,5953,5955,5951],"sun":[631,643,638,633,635,637,637,640,636],"leaf":[339,332,336,345,344,341,343,344,340],"timing":[114759713,121789428]}
14	uart_0	AmbitV003	MEASUREMENT	arrun 1,0,2,0,0,9,0,1,0,1	1783594790415	1783594799020	{"segments":[{"pulses":9,"freq":1,"actinic":0}],"cal_version":"7d4cef1f"}	{"env":[24.83],"fluo":[0.03444,0.03427,0.03393,0.03444,0.03395,0.03394,0.03375,0.03579,0.03427],"s_630":[205,204,202,205,202,202,201,213,204],"r_630":[5953,5952,5954,5952,5950,5952,5955,5951,5952],"sun":[637,636,638,636,635,637,637,638,636],"leaf":[341,345,341,341,341,337,341,341,342],"timing":[125399331,132447881]}
15	uart_0	AmbitV003	MEASUREMENT	arrun 1,0,2,0,0,9,0,1,0,1	1783594800055	1783594808654	{"segments":[{"pulses":9,"freq":1,"actinic":0}],"cal_version":"7d4cef1f"}	{"env":[24.82],"fluo":[0.03461,0.03444,0.03411,0.03396,0.03394,0.03376,0.10445,0.02890,0.05223],"s_630":[206,205,203,202,202,201,622,172,311],"r_630":[5952,5953,5952,5949,5951,5953,5955,5951,5954],"sun":[641,637,638,639,644,640,619,640,647],"leaf":[339,341,342,340,347,343,345,333,339],"timing":[135049349,142080346]}
16	uart_0	AmbitV003	MEASUREMENT	get_par	1783594808666	1783594808998	{"cal_version":"7d4cef1f"}	{"spec":[12,60,77,120,190,207,161,56,8,49],"par":20.95}
17	uart_0	AmbitV003	MEASUREMENT	arrun 6,0,2,0,0,40,0,10,0,1,2,0,0,70,0,100,250,1,2,0,0,10,0,100,200,1,2,0,0,10,0,100,160,1,2,0,0,10,0,100,250,1,2,0,0,40,0,10,0,1	1783594809010	1783594819228	{"segments":[{"pulses":40,"freq":10,"actinic":0},{"pulses":70,"freq":100,"actinic":250},{"pulses":10,"freq":100,"actinic":200},{"pulses":10,"freq":100,"actinic":160},{"pulses":10,"freq":100,"actinic":250},{"pulses":40,"freq":10,"actinic":0}],"cal_version":"7d4cef1f"}	{"env":[24.94,24.84,25.06],"s_630":[307,305,304,306,303,307,307,304,308,307,304,310,306,308,305,305,306,308,308,305,304,303,307,305,307,308,306,304,307,304,305,306,305,304,306,305,308,306,308,308,292,288,292,287,292,291,292,290,290,294,291,291,289,287,286,290,290,293,291,291,291,291,289,289,290,290,292,291,287,289,289,291,288,292,290,289,290,290,290,289,292,291,287,287,289,290,289,290,290,290,291,291,285,289,290,290,290,289,289,292,287,291,290,287,290,290,288,288,288,291,289,294,293,295,295,296,300,292,297,295,298,302,304,306,301,305,310,302,301,304,288,290,288,289,292,291,287,289,282,291,309,304,305,303,303,306,302,304,306,304,306,362,1171,1229,785,209,197,282,1032,323,543,241,747,645,788,177,802,718,274,179,173,169,166,169,168,172,172,170,175,174],"r_630":[5951,5953,5952,5953,5954,5956,5952,5952,5951,5953,5953,5951,5951,5955,5952,5952,5952,5953,5954,5952,5949,5951,5951,5953,5951,5954,5953,5953,5951,5953,5953,5954,5952,5952,5954,5953,5952,5952,5953,5952,5891,5868,5852,5869,5856,5844,5841,5838,5830,5824,5832,5825,5834,5830,5829,5821,5814,5813,5816,5815,5812,5815,5823,5809,5814,5812,5810,5793,5812,5815,5805,5804,5811,5799,5796,5803,5803,5795,5797,5798,5790,5793,5798,5796,5788,5788,5789,5794,5784,5779,5789,5773,5790,5782,5782,5786,5781,5779,5775,5776,5770,5772,5775,5770,5771,5768,5771,5774,5775,5778,5828,5808,5825,5816,5809,5810,5805,5815,5808,5807,5868,5859,5866,5856,5860,5857,5859,5864,5864,5860,5794,5783,5775,5763,5768,5768,5768,5772,5770,5772,5860,5888,5898,5906,5910,5916,5921,5924,5929,5930,5933,5936,5942,5944,5942,5941,5940,5942,5949,5953,5954,5947,5951,5951,5955,5946,6055,5974,5949,5949,5951,5948,5949,5949,5950,5950,5951,5950,5949,5949],"sun":[635,638,633,638,638,635,638,640,633,633,640,638,636,640,637,639,638,634,639,636,636,637,637,635,635,635,634,637,639,633,640,636,634,639,635,638,637,638,635,637,677,677,675,683,680,684,683,687,683,678,679,680,682,685,679,683,685,680,683,679,684,680,679,677,684,685,677,677,680,676,681,677,680,677,678,678,679,680,680,678,678,672,680,678,678,678,675,678,679,682,681,675,676,679,678,677,679,678,676,684,679,683,677,677,682,685,676,677,680,680,670,673,667,665,678,667,673,673,669,670,667,657,665,666,664,664,663,660,662,660,687,683,676,677,674,682,678,681,680,681,642,639,637,639,638,639,637,637,634,629,637,637,653,651,652,655,663,675,665,668,675,683,671,678,677,663,661,654,654,656,659,650,647,649,653,664,673,686,692,693],"leaf":[341,337,335,333,337,337,338,337,342,340,333,332,336,339,339,339,336,338,338,339,335,337,336,340,338,341,336,337,337,336,334,338,335,339,336,337,340,335,336,338,405,401,404,402,405,402,402,399,401,400,402,405,403,404,405,405,400,401,402,400,403,402,401,403,402,401,403,402,404,404,401,405,403,403,402,401,404,402,405,402,402,403,404,403,404,398,406,403,401,405,403,399,403,405,407,406,404,405,407,408,402,404,402,401,399,402,402,402,404,406,396,389,389,390,391,391,388,392,391,392,383,378,382,377,379,378,373,377,378,377,405,397,398,401,405,402,397,402,399,407,340,341,336,337,339,337,338,339,334,337,338,335,334,332,340,335,328,346,353,349,342,323,338,341,341,341,340,346,347,382,384,415,414,412,394,371,365,363,355,339],"timing":[144003878,151701055]}
18	uart_0	AmbitV003	MEASUREMENT	arrun 1,0,2,0,0,9,0,1,0,1	1783594820285	1783594828876	{"segments":[{"pulses":9,"freq":1,"actinic":0}],"cal_version":"7d4cef1f"}	{"env":[24.22],"fluo":[0.09625,0.09624,0.09628,0.09659,0.09676,0.09627,0.09656,0.09974,0.09659],"s_630":[588,588,588,590,591,588,590,609,590],"r_630":[6109,6110,6107,6108,6108,6108,6110,6106,6108],"sun":[698,696,702,695,695,696,696,698,698],"leaf":[359,359,358,357,362,361,358,358,359],"timing":[155286285,162297617]}
19	uart_0	AmbitV003	MEASUREMENT	arrun 1,0,2,0,0,9,0,1,0,1	1783594829905	1783594838510	{"segments":[{"pulses":9,"freq":1,"actinic":0}],"cal_version":"7d4cef1f"}	{"env":[24.16],"fluo":[0.09727,0.09640,0.09656,0.09624,0.09841,0.09740,0.09642,0.09774,0.09723],"s_630":[594,589,590,588,601,595,589,597,594],"r_630":[6107,6110,6110,6110,6107,6109,6109,6108,6109],"sun":[698,702,698,702,701,702,698,695,698],"leaf":[363,363,363,360,360,362,362,362,370],"timing":[164918782,171927627]}
20	uart_0	AmbitV003	MEASUREMENT	arrun 1,0,2,0,0,9,0,1,0,1	1783594839535	1783594848135	{"segments":[{"pulses":9,"freq":1,"actinic":0}],"cal_version":"7d4cef1f"}	{"env":[24.15],"fluo":[0.09758,0.09709,0.09707,0.09735,0.09741,0.09637,0.09779,0.09985,0.09674],"s_630":[596,593,593,595,595,589,597,610,591],"r_630":[6108,6108,6109,6112,6108,6112,6105,6109,6109],"sun":[701,704,704,700,701,700,702,706,700],"leaf":[366,362,364,364,365,367,363,365,362],"timing":[174558927,181568755]}
21	uart_0	AmbitV003	MEASUREMENT	arrun 1,0,2,0,0,9,0,1,0,1	1783594850165	1783594858767	{"segments":[{"pulses":9,"freq":1,"actinic":0}],"cal_version":"7d4cef1f"}	{"env":[24.21],"fluo":[0.09707,0.09705,0.09674,0.09529,0.09841,0.09687,0.09653,0.09586,0.09666],"s_630":[593,593,591,583,601,592,590,586,591],"r_630":[6109,6110,6109,6118,6107,6111,6112,6113,6114],"sun":[702,706,703,704,703,700,702,703,700],"leaf":[365,363,366,364,366,361,365,364,369],"timing":[185198582,192208581]}
